eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed, O2
791, 59, 0, 0, 407, 0, 855, 34.53, 61.66, 0.0, 4095
848, 68, 0, 0, 418, 0, 873, 34.67, 59.54, 0.0, 4095
838, 66, 0, 0, 415, 0, 816, 34.59, 61.17, 0.0, 4095
543, 21, 0, 0, 429, 0, 829, 34.73, 61.12, 0.0, 4095
456, 8, 0, 0, 417, 0, 807, 34.83, 61.1, 0.0, 4095
472, 10, 0, 0, 427, 0, 814, 34.81, 59.22, 0.0, 4095
480, 12, 0, 0, 411, 0, 797, 34.73, 59.3, 0.0, 4095
472, 10, 0, 0, 414, 0, 832, 34.83, 60.7, 0.0, 4095
505, 15, 0, 0, 410, 0, 820, 34.73, 61.24, 0.0, 4095
505, 15, 0, 0, 403, 0, 850, 34.86, 62.11, 1.320372, 4095
452, 7, 0, 0, 401, 0, 833, 34.87, 61.33, 1.10031, 4095
455, 8, 0, 0, 430, 0, 807, 34.78, 57.49, 0.8802483, 4095
615, 32, 0, 0, 405, 0, 828, 34.77, 59.16, 0.8362359, 4095
641, 36, 0, 0, 430, 0, 820, 34.76, 60.96, 0.8802483, 4095
592, 29, 0, 0, 426, 0, 865, 34.64, 59.50, 1.012285, 4095
565, 25, 0, 0, 431, 0, 827, 34.56, 60.13, 1.496422, 4095
592, 29, 0, 0, 421, 0, 833, 34.50, 60.43, 1.056298, 4095
1122, 109, 0, 0, 448, 0, 874, 34.47, 60.80, 1.892534, 4095
793, 59, 0, 0, 451, 0, 854, 34.26, 61.42, 1.408397, 4095
473, 11, 0, 0, 433, 0, 890, 34.15, 60.43, 0.0, 4095
505, 15, 0, 0, 447, 0, 857, 34.14, 61.56, 0.0, 4095
527, 19, 0, 0, 443, 0, 883, 34.4, 60.88, 0.0, 4095
520, 18, 0, 0, 459, 0, 858, 33.94, 61.43, 0.0, 4095
641, 36, 0, 0, 448, 0, 878, 33.95, 61.46, 0.0, 4095
649, 37, 0, 0, 459, 0, 846, 34.2, 62.78, 0.5721613, 4095
496, 14, 0, 0, 474, 0, 865, 34.9, 60.17, 0.6161737, 4095
527, 19, 0, 0, 465, 0, 835, 34.15, 61.10, 0.7922234, 4095
483, 12, 0, 0, 463, 0, 831, 34.14, 60.99, 1.012285, 4095
599, 30, 0, 0, 463, 0, 867, 34.22, 61.27, 0.7041986, 4095
614, 32, 0, 0, 455, 0, 891, 34.25, 61.89, 1.188335, 4095
560, 24, 0, 0, 449, 0, 915, 34.18, 60.62, 0.9242607, 4095
