eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
749, 53, 0, 972, 0, 117, 156, 43.92, 35.45, 0.0
1068, 101, 0, 962, 0, 122, 153, 44.15, 35.33, 0.0
1542, 200, 0, 948, 0, 128, 174, 44.15, 35.68, 0.0
770, 56, 0, 954, 0, 129, 161, 44.21, 35.83, 2.024571
714, 47, 0, 934, 0, 131, 165, 44.29, 35.97, 1.980558
1573, 225, 0, 918, 0, 138, 164, 44.46, 35.45, 2.948832
1007, 92, 0, 930, 0, 144, 179, 44.47, 35.56, 3.036856
1898, 582, 0, 913, 0, 147, 188, 44.66, 35.34, 3.609018
1787, 435, 0, 892, 0, 160, 201, 44.73, 34.93, 2.948832
1540, 199, 0, 863, 0, 151, 211, 44.84, 35.4, 3.741055
1513, 180, 0, 865, 0, 180, 218, 44.78, 34.50, 3.432968
2156, 1040, 0, 859, 0, 222, 301, 44.85, 34.64, 3.609018
1644, 285, 0, 866, 0, 205, 259, 44.85, 34.33, 3.873092
706, 46, 0, 876, 0, 188, 223, 44.85, 33.76, 3.917105
848, 68, 0, 912, 0, 176, 208, 44.85, 33.64, 3.565006
656, 39, 0, 925, 0, 153, 209, 44.80, 34.34, 3.256919
1255, 130, 0, 891, 0, 159, 196, 45.3, 34.78, 4.445253
656, 39, 0, 893, 0, 144, 195, 44.97, 34.37, 4.665316
915, 78, 0, 894, 0, 139, 181, 45.17, 34.64, 3.388956
806, 61, 0, 891, 0, 134, 177, 45.11, 34.50, 3.124882
785, 58, 0, 860, 0, 131, 178, 45.19, 34.2, 2.948832
872, 71, 0, 871, 0, 142, 177, 45.25, 34.26, 2.860807
848, 68, 0, 909, 0, 124, 177, 45.14, 33.71, 3.124882
682, 42, 0, 895, 0, 127, 173, 45.19, 33.52, 2.772782
768, 56, 0, 891, 0, 129, 171, 45.17, 33.37, 3.344944
497, 14, 0, 876, 0, 128, 170, 45.17, 33.42, 3.432968
524, 18, 0, 880, 0, 144, 160, 45.12, 33.28, 3.168894
580, 27, 0, 901, 0, 131, 171, 45.14, 33.39, 3.388956
611, 32, 0, 887, 0, 138, 174, 45.19, 34.17, 3.476981
981, 88, 0, 877, 0, 137, 167, 45.27, 33.84, 2.772782
643, 37, 0, 851, 0, 139, 168, 45.19, 33.63, 3.565006
650, 38, 0, 853, 0, 153, 171, 45.32, 34.31, 3.609018
787, 58, 0, 862, 0, 141, 173, 45.35, 34.15, 3.565006
913, 78, 0, 849, 0, 134, 174, 45.44, 33.84, 4.665316
637, 36, 0, 880, 0, 130, 159, 45.31, 33.79, 4.92939
690, 44, 0, 878, 0, 128, 166, 45.49, 34.0, 3.212906
602, 30, 0, 886, 0, 128, 145, 45.31, 33.48, 3.82908
700, 45, 0, 865, 0, 124, 164, 45.52, 33.72, 4.709328
1295, 136, 0, 863, 0, 129, 138, 45.36, 33.97, 6.997973
1462, 161, 0, 861, 0, 135, 168, 45.38, 33.96, 0.0
1416, 154, 0, 883, 0, 129, 191, 45.28, 33.40, 3.168894
524, 18, 0, 950, 0, 129, 165, 44.84, 33.18, 3.168894
435, 5, 0, 982, 0, 126, 172, 44.84, 33.45, 3.168894
629, 34, 0, 925, 0, 128, 174, 45.1, 33.43, 3.65303
569, 25, 0, 900, 0, 128, 161, 44.96, 33.41, 3.124882
574, 26, 0, 928, 0, 119, 161, 44.81, 33.70, 3.080869
517, 17, 0, 921, 0, 113, 161, 44.83, 33.69, 3.344944
614, 32, 0, 896, 0, 114, 157, 44.90, 33.74, 3.697043
749, 53, 0, 886, 0, 125, 161, 44.85, 34.75, 3.785067
704, 46, 0, 855, 0, 121, 163, 44.98, 34.32, 3.036856
584, 28, 0, 855, 0, 132, 166, 45.4, 34.27, 3.256919
649, 37, 0, 864, 0, 137, 167, 44.94, 34.8, 3.432968
615, 32, 0, 873, 0, 150, 176, 44.96, 33.97, 3.520993
1538, 198, 0, 877, 0, 174, 181, 44.94, 33.93, 2.992844
656, 39, 0, 869, 0, 153, 190, 44.90, 34.14, 3.080869
483, 12, 0, 865, 0, 144, 177, 44.98, 34.18, 3.344944
422, 3, 0, 905, 0, 140, 175, 44.80, 34.5, 3.741055
830, 65, 0, 892, 0, 145, 185, 44.89, 33.93, 3.873092
1274, 133, 0, 894, 0, 198, 186, 44.76, 33.99, 3.520993
523, 18, 0, 901, 0, 155, 183, 44.76, 34.21, 2.816794
439, 5, 0, 934, 0, 131, 169, 44.64, 34.9, 3.300931
425, 3, 0, 897, 0, 131, 158, 44.76, 33.83, 3.609018
977, 87, 0, 880, 0, 159, 173, 44.77, 34.1, 3.168894
414, 2, 0, 881, 0, 149, 161, 44.74, 33.86, 3.124882
523, 18, 0, 894, 0, 145, 160, 44.39, 33.66, 3.476981
742, 52, 0, 916, 0, 141, 162, 44.57, 33.94, 3.388956
626, 34, 0, 907, 0, 137, 162, 44.62, 34.54, 3.036856
475, 11, 0, 883, 0, 128, 157, 44.69, 34.63, 3.917105
633, 35, 0, 878, 0, 141, 149, 44.73, 34.94, 0.0
594, 29, 0, 875, 0, 118, 151, 44.66, 34.74, 4.225192
415, 2, 0, 883, 0, 119, 112, 44.15, 33.83, 3.741055
517, 17, 0, 874, 0, 112, 151, 44.57, 33.87, 3.65303
457, 8, 0, 878, 0, 128, 145, 44.62, 33.84, 2.772782
506, 16, 0, 857, 0, 112, 147, 44.57, 34.18, 3.036856
405, 0, 0, 912, 0, 95, 144, 44.19, 33.98, 3.741055
422, 3, 0, 930, 0, 120, 143, 44.9, 34.24, 3.124882
448, 7, 0, 944, 0, 113, 143, 43.92, 34.88, 3.344944
627, 34, 0, 912, 0, 107, 122, 44.9, 35.5, 3.256919
728, 49, 0, 894, 0, 112, 144, 43.95, 34.50, 3.917105
536, 20, 0, 863, 0, 102, 144, 43.99, 34.61, 3.124882
653, 38, 0, 833, 0, 120, 150, 44.9, 34.45, 2.55272
761, 54, 0, 834, 0, 115, 164, 44.22, 35.3, 3.476981
1349, 144, 0, 873, 0, 128, 147, 43.98, 34.92, 3.300931
1083, 104, 0, 844, 0, 121, 163, 44.25, 34.41, 3.388956
